Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,Year
1,Uruguay,4,4,0,0,15,3,12,8,1930
2,Argentina,5,4,0,1,18,9,9,8,1930
3,United States,3,2,0,1,7,6,1,4,1930
4,Yugoslavia,3,2,0,1,7,7,0,4,1930
5,Chile,3,2,0,1,5,3,2,4,1930
6,Brazil,2,1,0,1,5,2,3,2,1930
7,France,3,1,0,2,4,3,1,2,1930
8,Romania,2,1,0,1,3,5,−2,2,1930
9,Paraguay,2,1,0,1,1,3,−2,2,1930
10,Peru,2,0,0,2,1,4,−3,0,1930
11,Belgium,2,0,0,2,0,4,−4,0,1930
12,Bolivia,2,0,0,2,0,8,−8,0,1930
13,Mexico,3,0,0,3,4,13,−9,0,1930
1,Italy,4,3,1,0,11,3,8,7,1934
2,Czechoslovakia,4,3,0,1,9,6,3,6,1934
3,Germany,4,3,0,1,11,8,3,6,1934
4,Austria,4,2,0,2,7,7,0,4,1934
5,Spain,2,1,1,0,4,2,2,3,1934
6,Hungary,2,1,0,1,5,4,1,2,1934
7,Switzerland,2,1,0,1,5,5,0,2,1934
8,Sweden,2,1,0,1,4,4,0,2,1934
9,Argentina,1,0,0,1,2,3,−1,0,1934
9,France,1,0,0,1,2,3,−1,0,1934
9,Netherlands,1,0,0,1,2,3,−1,0,1934
12,Romania,1,0,0,1,1,2,−1,0,1934
13,Egypt,1,0,0,1,2,4,−2,0,1934
14,Brazil,1,0,0,1,1,3,−2,0,1934
15,Belgium,1,0,0,1,2,5,−3,0,1934
16,United States,1,0,0,1,1,7,−6,0,1934
1,Italy,4,4,0,0,11,5,6,8,1938
2,Hungary,4,3,0,1,15,5,10,6,1938
3,Brazil,5,3,1,1,14,11,3,7,1938
4,Sweden,3,1,0,2,11,9,2,2,1938
5,Czechoslovakia,3,1,1,1,5,3,2,3,1938
6,Switzerland,3,1,1,1,5,5,0,3,1938
7,Cuba,3,1,1,1,5,12,−7,3,1938
8,France,2,1,0,1,4,4,0,2,1938
9,Romania,2,0,1,1,4,5,-1,1,1938
10,Germany,2,0,1,1,3,5,-2,1,1938
11,Poland,1,0,0,1,5,6,−1,0,1938
12,Norway,1,0,0,1,1,2,−1,0,1938
13,Belgium,1,0,0,1,1,3,−2,0,1938
14,Netherlands,1,0,0,1,0,3,−3,0,1938
15,Dutch East Indies,1,0,0,1,0,6,−6,0,1938
1,Uruguay,4,3,1,0,15,5,10,7,1950
2,Brazil,6,4,1,1,22,6,16,9,1950
3,Sweden,5,2,1,2,11,15,−4,5,1950
4,Spain,6,3,1,2,10,12,−2,7,1950
5,Yugoslavia,3,2,0,1,7,3,4,4,1950
6,Switzerland,3,1,1,1,4,6,−2,3,1950
7,Italy,2,1,0,1,4,3,1,2,1950
8,England,3,1,0,2,2,2,0,2,1950
9,Chile,3,1,0,2,5,6,−1,2,1950
10,United States,3,1,0,2,4,8,−4,2,1950
11,Paraguay,2,0,1,1,2,4,−2,1,1950
12,Mexico,3,0,0,3,2,10,−8,0,1950
13,Bolivia,1,0,0,1,0,8,−8,0,1950
1,West Germany,6,5,0,1,25,14,11,10,1954
2,Hungary,5,4,0,1,27,10,17,8,1954
3,Austria,5,4,0,1,17,12,5,8,1954
4,Uruguay,5,3,0,2,16,9,7,6,1954
5,Switzerland,4,2,0,2,11,11,0,4,1954
6,Brazil,3,1,1,1,8,5,3,3,1954
7,England,3,1,1,1,8,8,0,3,1954
8,Yugoslavia,3,1,1,1,2,3,−1,3,1954
9,Turkey,3,1,0,2,10,11,−1,2,1954
10,Italy,3,1,0,2,6,7,−1,2,1954
11,France,2,1,0,1,3,3,0,2,1954
12,Belgium,2,0,1,1,5,8,−3,1,1954
13,Mexico,2,0,0,2,2,8,−6,0,1954
14,Czechoslovakia,2,0,0,2,0,7,−7,0,1954
15,Scotland,2,0,0,2,0,8,−8,0,1954
16,South Korea,2,0,0,2,0,16,−16,0,1954
1,Brazil,6,5,1,0,16,4,12,11,1958
2,Sweden,6,4,1,1,12,7,5,9,1958
3,France,6,4,0,2,23,15,8,8,1958
4,West Germany,6,2,2,2,12,14,−2,6,1958
5,Wales,5,1,3,1,4,4,0,5,1958
6,Soviet Union,5,2,1,2,5,6,−1,5,1958
7,Northern Ireland,5,2,1,2,6,10,−4,5,1958
8,Yugoslavia,4,1,2,1,7,7,0,4,1958
9,Czechoslovakia,4,1,1,2,9,6,3,3,1958
10,Hungary,4,1,1,2,7,5,2,3,1958
11,England,4,0,3,1,4,5,−1,3,1958
12,Paraguay,3,1,1,1,9,12,−3,3,1958
13,Argentina,3,1,0,2,5,10,−5,2,1958
14,Scotland,3,0,1,2,4,6,−2,1,1958
15,Austria,3,0,1,2,2,7,−5,1,1958
16,Mexico,3,0,1,2,1,8,−7,1,1958
1,Brazil,6,5,1,0,14,5,9,11,1962
2,Czechoslovakia,6,3,1,2,7,7,0,7,1962
3,Chile,6,4,0,2,10,8,2,8,1962
4,Yugoslavia,6,3,0,3,10,7,3,6,1962
5,Hungary,4,2,1,1,8,3,5,5,1962
6,Soviet Union,4,2,1,1,9,7,2,5,1962
7,West Germany,4,2,1,1,4,2,2,5,1962
8,England,4,1,1,2,5,6,−1,3,1962
9,Italy,3,1,1,1,3,2,1,3,1962
10,Argentina,3,1,1,1,2,3,−1,3,1962
11,Mexico,3,1,0,2,3,4,−1,2,1962
12,Spain,3,1,0,2,2,3,−1,2,1962
13,Uruguay,3,1,0,2,4,6,−2,2,1962
14,Colombia,3,0,1,2,5,11,−6,1,1962
15,Bulgaria,3,0,1,2,1,7,−6,1,1962
16,Switzerland,3,0,0,3,2,8,−6,0,1962
1,England,6,5,1,0,11,3,8,11,1966
2,West Germany,6,4,1,1,15,6,9,9,1966
3,Portugal,6,5,0,1,17,8,9,10,1966
4,Soviet Union,6,4,0,2,10,6,4,8,1966
5,Argentina,4,2,1,1,4,2,2,5,1966
6,Hungary,4,2,0,2,8,7,1,4,1966
7,Uruguay,4,1,2,1,2,5,−3,4,1966
8,North Korea,4,1,1,2,5,9,−4,3,1966
9,Italy,3,1,0,2,2,2,0,2,1966
10,Spain,3,1,0,2,4,5,−1,2,1966
11,Brazil,3,1,0,2,4,6,−2,2,1966
12,Mexico,3,0,2,1,1,3,−2,2,1966
13,Chile,3,0,1,2,2,5,−3,1,1966
13,France,3,0,1,2,2,5,−3,1,1966
15,Bulgaria,3,0,0,3,1,8,−7,0,1966
16,Switzerland,3,0,0,3,1,9,−8,0,1966
1,Brazil,6,6,0,0,19,7,12,12,1970
2,Italy,6,3,2,1,10,8,2,8,1970
3,West Germany,6,5,0,1,17,10,7,10,1970
4,Uruguay,6,2,1,3,4,5,−1,5,1970
5,Soviet Union,4,2,1,1,6,2,4,5,1970
6,Mexico,4,2,1,1,6,4,2,5,1970
7,Peru,4,2,0,2,9,9,0,4,1970
8,England,4,2,0,2,4,4,0,4,1970
9,Sweden,3,1,1,1,2,2,0,3,1970
10,Belgium,3,1,0,2,4,5,−1,2,1970
10,Romania,3,1,0,2,4,5,−1,2,1970
12,Israel*,3,0,2,1,1,3,−2,2,1970
13,Bulgaria**,3,0,1,2,5,9,−4,1,1970
14,Morocco,3,0,1,2,2,6,−4,1,1970
15,Czechoslovakia,3,0,0,3,2,7,−5,0,1970
16,El Salvador,3,0,0,3,0,9,−9,0,1970
1,West Germany,7,6,0,1,13,4,9,12,1974
2,Netherlands,7,5,1,1,15,3,12,11,1974
3,Poland,7,6,0,1,16,5,11,12,1974
4,Brazil,7,3,2,2,6,4,2,8,1974
5,Sweden,6,2,2,2,7,6,1,6,1974
6,East Germany,6,2,2,2,5,5,0,6,1974
7,Yugoslavia,6,1,2,3,12,7,5,4,1974
8,Argentina,6,1,2,3,9,12,−3,4,1974
9,Scotland,3,1,2,0,3,1,2,4,1974
10,Italy,3,1,1,1,5,4,1,3,1974
11,Chile,3,0,2,1,1,2,−1,2,1974
12,Bulgaria,3,0,2,1,2,5,−3,2,1974
13,Uruguay,3,0,1,2,1,6,−5,1,1974
14,Australia,3,0,1,2,0,5,−5,1,1974
15,Haiti,3,0,0,3,2,14,−12,0,1974
16,Zaire,3,0,0,3,0,14,−14,0,1974
1,Argentina,7,5,1,1,15,4,11,11,1978
2,Netherlands,7,3,2,2,15,10,5,8,1978
3,Brazil,7,4,3,0,10,3,7,11,1978
4,Italy,7,4,1,2,9,6,3,9,1978
5,Poland,6,3,1,2,6,6,0,7,1978
6,West Germany,6,1,4,1,10,5,5,6,1978
7,Austria,6,3,0,3,7,10,−3,6,1978
8,Peru,6,2,1,3,7,12,−5,5,1978
9,Tunisia,3,1,1,1,3,2,1,3,1978
10,Spain,3,1,1,1,2,2,0,3,1978
11,Scotland,3,1,1,1,5,6,−1,3,1978
12,France,3,1,0,2,5,5,0,2,1978
13,Sweden,3,0,1,2,1,3,−2,1,1978
14,Iran,3,0,1,2,2,8,−6,1,1978
15,Hungary,3,0,0,3,3,8,−5,0,1978
16,Mexico,3,0,0,3,2,12,−10,0,1978
1,Italy,7,4,3,0,12,6,6,11,1982
2,West Germany,7,3,2,2,12,10,2,8,1982
3,Poland,7,3,3,1,11,5,6,9,1982
4,France,7,3,2,2,16,12,4,8,1982
5,Brazil,5,4,0,1,15,6,9,8,1982
6,England,5,3,2,0,6,1,5,8,1982
7,Soviet Union,5,2,2,1,7,4,3,6,1982
8,Austria,5,2,1,2,5,4,1,5,1982
9,Northern Ireland,5,1,3,1,5,7,−2,5,1982
10,Belgium,5,2,1,2,3,5,−2,5,1982
11,Argentina,5,2,0,3,8,7,1,4,1982
12,Spain,5,1,2,2,4,5,−1,4,1982
13,Algeria,3,2,0,1,5,5,0,4,1982
14,Hungary,3,1,1,1,12,6,6,3,1982
15,Scotland,3,1,1,1,8,8,0,3,1982
16,Yugoslavia,3,1,1,1,2,2,0,3,1982
17,Cameroon,3,0,3,0,1,1,0,3,1982
18,Honduras,3,0,2,1,2,3,−1,2,1982
19,Czechoslovakia,3,0,2,1,2,4,−2,2,1982
20,Peru,3,0,2,1,2,6,−4,2,1982
21,Kuwait,3,0,1,2,2,6,−4,1,1982
22,Chile,3,0,0,3,3,8,−5,0,1982
23,New Zealand,3,0,0,3,2,12,−10,0,1982
24,El Salvador,3,0,0,3,1,13,−12,0,1982
1,Italy,7,4,3,0,12,6,6,11,1986
2,West Germany,7,3,2,2,12,10,2,8,1986
3,Poland,7,3,3,1,11,5,6,9,1986
4,France,7,3,2,2,16,12,4,8,1986
5,Brazil,5,4,0,1,15,6,9,8,1986
6,England,5,3,2,0,6,1,5,8,1986
7,Soviet Union,5,2,2,1,7,4,3,6,1986
8,Austria,5,2,1,2,5,4,1,5,1986
9,Northern Ireland,5,1,3,1,5,7,−2,5,1986
10,Belgium,5,2,1,2,3,5,−2,5,1986
11,Argentina,5,2,0,3,8,7,1,4,1986
12,Spain,5,1,2,2,4,5,−1,4,1986
13,Algeria,3,2,0,1,5,5,0,4,1986
14,Hungary,3,1,1,1,12,6,6,3,1986
15,Scotland,3,1,1,1,8,8,0,3,1986
16,Yugoslavia,3,1,1,1,2,2,0,3,1986
17,Cameroon,3,0,3,0,1,1,0,3,1986
18,Honduras,3,0,2,1,2,3,−1,2,1986
19,Czechoslovakia,3,0,2,1,2,4,−2,2,1986
20,Peru,3,0,2,1,2,6,−4,2,1986
21,Kuwait,3,0,1,2,2,6,−4,1,1986
22,Chile,3,0,0,3,3,8,−5,0,1986
23,New Zealand,3,0,0,3,2,12,−10,0,1986
24,El Salvador,3,0,0,3,1,13,−12,0,1986
1,West Germany,7,5,2,0,15,5,10,12,1990
2,Argentina,7,2,3,2,5,4,1,7,1990
3,Italy,7,6,1,0,10,2,8,13,1990
4,England,7,3,3,1,8,6,2,9,1990
5,Yugoslavia,5,3,1,1,8,6,2,7,1990
6,Czechoslovakia,5,3,0,2,10,5,5,6,1990
7,Cameroon,5,3,0,2,7,9,−2,6,1990
8,Republic of Ireland,5,0,4,1,2,3,−1,4,1990
9,Brazil,4,3,0,1,4,2,2,6,1990
10,Spain,4,2,1,1,6,4,2,5,1990
11,Belgium,4,2,0,2,6,4,2,4,1990
12,Romania,4,1,2,1,4,3,1,4,1990
13,Costa Rica,4,2,0,2,4,6,−2,4,1990
14,Colombia,4,1,1,2,4,4,0,3,1990
15,Netherlands,4,0,3,1,3,4,−1,3,1990
16,Uruguay,4,1,1,2,2,5,−3,3,1990
17,Soviet Union,3,1,0,2,4,4,0,2,1990
18,Austria,3,1,0,2,2,3,−1,2,1990
18,Scotland,3,1,0,2,2,3,−1,2,1990
20,Egypt,3,0,2,1,1,2,−1,2,1990
21,Sweden,3,0,0,3,3,6,−3,0,1990
22,South Korea,3,0,0,3,1,6,−5,0,1990
23,United States,3,0,0,3,2,8,−6,0,1990
24,United Arab Emirates,3,0,0,3,2,11,−9,0,1990
1,Brazil,7,5,2,0,11,3,8,17,1994
2,Italy,7,4,2,1,8,5,3,14,1994
3,Sweden,7,3,3,1,15,8,7,12,1994
4,Bulgaria,7,3,1,3,10,11,−1,10,1994
5,Germany,5,3,1,1,9,7,2,10,1994
6,Romania,5,3,1,1,10,9,1,10,1994
7,Netherlands,5,3,0,2,8,6,2,9,1994
8,Spain,5,2,2,1,10,6,4,8,1994
9,Nigeria,4,2,0,2,7,4,3,6,1994
10,Argentina,4,2,0,2,8,6,2,6,1994
11,Belgium,4,2,0,2,4,4,0,6,1994
12,Saudi Arabia,4,2,0,2,5,6,−1,6,1994
13,Mexico,4,1,2,1,4,4,0,5,1994
14,United States,4,1,1,2,3,4,−1,4,1994
15,Switzerland,4,1,1,2,5,7,−2,4,1994
16,Republic of Ireland,4,1,1,2,2,4,−2,4,1994
17,Norway,3,1,1,1,1,1,0,4,1994
18,Russia,3,1,0,2,7,6,1,3,1994
19,Colombia,3,1,0,2,4,5,−1,3,1994
20,South Korea,3,0,2,1,4,5,−1,2,1994
21,Bolivia,3,0,1,2,1,4,−3,1,1994
22,Cameroon,3,0,1,2,3,11,−8,1,1994
23,Morocco,3,0,0,3,2,5,−3,0,1994
24,Greece,3,0,0,3,0,10,−10,0,1994
1,France,7,6,1,0,15,2,13,19,1998
2,Brazil,7,4,1,2,14,10,4,13,1998
3,Croatia,7,5,0,2,11,5,6,15,1998
4,Netherlands,7,3,3,1,13,7,6,12,1998
5,Italy,5,3,2,0,8,3,5,11,1998
6,Argentina,5,3,1,1,10,4,6,10,1998
7,Germany,5,3,1,1,8,6,2,10,1998
8,Denmark,5,2,1,2,9,7,2,7,1998
9,England,4,2,1,1,7,4,3,7,1998
10,FR Yugoslavia,4,2,1,1,5,4,1,7,1998
11,Romania,4,2,1,1,4,3,1,7,1998
12,Nigeria,4,2,0,2,6,9,−3,6,1998
13,Mexico,4,1,2,1,8,7,1,5,1998
14,Paraguay,4,1,2,1,3,2,1,5,1998
15,Norway,4,1,2,1,5,5,0,5,1998
16,Chile,4,0,3,1,5,8,−3,3,1998
17,Spain,3,1,1,1,8,4,4,4,1998
18,Morocco,3,1,1,1,5,5,0,4,1998
19,Belgium,3,0,3,0,3,3,0,3,1998
20,Iran,3,1,0,2,2,4,−2,3,1998
21,Colombia,3,1,0,2,1,3,−2,3,1998
22,Jamaica,3,1,0,2,3,9,−6,3,1998
23,Austria,3,0,2,1,3,4,−1,2,1998
24,South Africa,3,0,2,1,3,6,−3,2,1998
25,Cameroon,3,0,2,1,2,5,−3,2,1998
26,Tunisia,3,0,1,2,1,4,−3,1,1998
27,Scotland,3,0,1,2,2,6,−4,1,1998
28,Saudi Arabia,3,0,1,2,2,7,−5,1,1998
29,Bulgaria,3,0,1,2,1,7,−6,1,1998
30,South Korea,3,0,1,2,2,9,−7,1,1998
31,Japan,3,0,0,3,1,4,−3,0,1998
32,United States,3,0,0,3,1,5,−4,0,1998
1,Brazil,7,7,0,0,18,4,14,21,2002
2,Germany,7,5,1,1,14,3,11,16,2002
3,Turkey,7,4,1,2,10,6,4,13,2002
4,South Korea,7,3,2,2,8,6,2,11,2002
5,Spain,5,3,2,0,10,5,5,11,2002
6,England,5,2,2,1,6,3,3,8,2002
7,Senegal,5,2,2,1,7,6,1,8,2002
8,United States,5,2,1,2,7,7,0,7,2002
9,Japan,4,2,1,1,5,3,2,7,2002
10,Denmark,4,2,1,1,5,5,0,7,2002
11,Mexico,4,2,1,1,4,4,0,7,2002
12,Republic of Ireland,4,1,3,0,6,3,3,6,2002
13,Sweden,4,1,2,1,5,5,0,5,2002
14,Belgium,4,1,2,1,6,7,−1,5,2002
15,Italy,4,1,1,2,5,5,0,4,2002
16,Paraguay,4,1,1,2,6,7,−1,4,2002
17,South Africa,3,1,1,1,5,5,0,4,2002
18,Argentina,3,1,1,1,2,2,0,4,2002
19,Costa Rica,3,1,1,1,5,6,−1,4,2002
20,Cameroon,3,1,1,1,2,3,−1,4,2002
21,Portugal,3,1,0,2,6,4,2,3,2002
22,Russia,3,1,0,2,4,4,0,3,2002
23,Croatia,3,1,0,2,2,3,−1,3,2002
24,Ecuador,3,1,0,2,2,4,−2,3,2002
25,Poland,3,1,0,2,3,7,−4,3,2002
26,Uruguay,3,0,2,1,4,5,−1,2,2002
27,Nigeria,3,0,1,2,1,3,−2,1,2002
28,France,3,0,1,2,0,3,−3,1,2002
29,Tunisia,3,0,1,2,1,5,−4,1,2002
30,Slovenia,3,0,0,3,2,7,−5,0,2002
31,China PR,3,0,0,3,0,9,−9,0,2002
32,Saudi Arabia,3,0,0,3,0,12,−12,0,2002
1,Italy,7,5,2,0,12,2,10,17,2006
2,France,7,4,3,0,9,3,6,15,2006
3,Germany,7,5,1,1,14,6,8,16,2006
4,Portugal,7,4,1,2,7,5,2,13,2006
5,Brazil,5,4,0,1,10,2,8,12,2006
6,Argentina,5,3,2,0,11,3,8,11,2006
7,England,5,3,2,0,6,2,4,11,2006
8,Ukraine,5,2,1,2,5,7,−2,7,2006
9,Spain,4,3,0,1,9,4,5,9,2006
10,Switzerland,4,2,2,0,4,0,4,8,2006
11,Netherlands,4,2,1,1,3,2,1,7,2006
12,Ecuador,4,2,0,2,5,4,1,6,2006
13,Ghana,4,2,0,2,4,6,−2,6,2006
14,Sweden,4,1,2,1,3,4,−1,5,2006
15,Mexico,4,1,1,2,5,5,0,4,2006
16,Australia,4,1,1,2,5,6,−1,4,2006
17,South Korea,3,1,1,1,3,4,−1,4,2006
18,Paraguay,3,1,0,2,2,2,0,3,2006
19,Ivory Coast,3,1,0,2,5,6,−1,3,2006
20,Czech Republic,3,1,0,2,3,4,−1,3,2006
21,Poland,3,1,0,2,2,4,−2,3,2006
22,Croatia,3,0,2,1,2,3,−1,2,2006
23,Angola,3,0,2,1,1,2,−1,2,2006
24,Tunisia,3,0,1,2,3,6,−3,1,2006
25,Iran,3,0,1,2,2,6,−4,1,2006
25,United States,3,0,1,2,2,6,−4,1,2006
27,Trinidad and Tobago,3,0,1,2,0,4,−4,1,2006
28,Japan,3,0,1,2,2,7,−5,1,2006
28,Saudi Arabia,3,0,1,2,2,7,−5,1,2006
30,Togo,3,0,0,3,1,6,−5,0,2006
31,Costa Rica,3,0,0,3,3,9,−6,0,2006
32,Serbia and Montenegro,3,0,0,3,2,10,−8,0,2006
1,Spain,7,6,0,1,8,2,6,18,2010
2,Netherlands,7,6,0,1,12,6,6,18,2010
3,Germany,7,5,0,2,16,5,11,15,2010
4,Uruguay,7,3,2,2,11,8,3,11,2010
5,Argentina,5,4,0,1,10,6,4,12,2010
6,Brazil,5,3,1,1,9,4,5,10,2010
7,Ghana,5,2,2,1,5,4,1,8,2010
8,Paraguay,5,1,3,1,3,2,1,6,2010
9,Japan,4,2,1,1,4,2,2,7,2010
10,Chile,4,2,0,2,3,5,−2,6,2010
11,Portugal,4,1,2,1,7,1,6,5,2010
12,United States,4,1,2,1,5,5,0,5,2010
13,England,4,1,2,1,3,5,−2,5,2010
14,Mexico,4,1,1,2,4,5,−1,4,2010
15,South Korea,4,1,1,2,6,8,−2,4,2010
16,Slovakia,4,1,1,2,5,7,−2,4,2010
17,Ivory Coast,3,1,1,1,4,3,1,4,2010
18,Slovenia,3,1,1,1,3,3,0,4,2010
19,Switzerland,3,1,1,1,1,1,0,4,2010
20,South Africa,3,1,1,1,3,5,−2,4,2010
21,Australia,3,1,1,1,3,6,−3,4,2010
22,New Zealand,3,0,3,0,2,2,0,3,2010
23,Serbia,3,1,0,2,2,3,−1,3,2010
24,Denmark,3,1,0,2,3,6,−3,3,2010
25,Greece,3,1,0,2,2,5,−3,3,2010
26,Italy,3,0,2,1,4,5,−1,2,2010
27,Nigeria,3,0,1,2,3,5,−2,1,2010
28,Algeria,3,0,1,2,0,2,−2,1,2010
29,France,3,0,1,2,1,4,−3,1,2010
30,Honduras,3,0,1,2,0,3,−3,1,2010
31,Cameroon,3,0,0,3,2,5,−3,0,2010
32,North Korea,3,0,0,3,1,12,−11,0,2010
1,Germany,7,6,1,0,18,4,14,19,2014
2,Argentina,7,5,1,1,8,4,4,16,2014
3,Netherlands,7,5,2,0,15,4,11,17,2014
4,Brazil,7,3,2,2,11,14,−3,11,2014
5,Colombia,5,4,0,1,12,4,8,12,2014
6,Belgium,5,4,0,1,6,3,3,12,2014
7,France,5,3,1,1,10,3,7,10,2014
8,Costa Rica,5,2,3,0,5,2,3,9,2014
9,Chile,4,2,1,1,6,4,2,7,2014
10,Mexico,4,2,1,1,5,3,2,7,2014
11,Switzerland,4,2,0,2,7,7,0,6,2014
12,Uruguay,4,2,0,2,4,6,−2,6,2014
13,Greece,4,1,2,1,3,5,−2,5,2014
14,Algeria,4,1,1,2,7,7,0,4,2014
15,United States,4,1,1,2,5,6,−1,4,2014
16,Nigeria,4,1,1,2,3,5,−2,4,2014
17,Ecuador,3,1,1,1,3,3,0,4,2014
18,Portugal,3,1,1,1,4,7,−3,4,2014
19,Croatia,3,1,0,2,6,6,0,3,2014
20,Bosnia and Herzegovina,3,1,0,2,4,4,0,3,2014
21,Ivory Coast,3,1,0,2,4,5,−1,3,2014
22,Italy,3,1,0,2,2,3,−1,3,2014
23,Spain,3,1,0,2,4,7,−3,3,2014
24,Russia,3,0,2,1,2,3,−1,2,2014
25,Ghana,3,0,1,2,4,6,−2,1,2014
26,England,3,0,1,2,2,4,−2,1,2014
27,South Korea,3,0,1,2,3,6,−3,1,2014
28,Iran,3,0,1,2,1,4,−3,1,2014
29,Japan,3,0,1,2,2,6,−4,1,2014
30,Australia,3,0,0,3,3,9,−6,0,2014
31,Honduras,3,0,0,3,1,8,−7,0,2014
32,Cameroon,3,0,0,3,1,9,−8,0,2014